ExperimentId,inputIndex,PTSD,PTSDImageArousalSubscale,CognitiveControlOverEmotion,Stress,Depression,ExecutiveScore,Neuroticism,BaseImageDominance,BaseImageArousal,BaseImageValence,NightmareDistress,NightmareEffects,NightmareFrequency,DASSAnxiety,FearExtinctionFailureThreshold,BaseFearExtinctionAttemptThreshold,LogNightmareFrequency,ptsdOffset,ptsdIASOffset,ccoeOffset,stressOffset,depressionOffset,executivescoreOffset,neuroticismOffset,dominanceOffset,arousalOffset,valenceOffset,scalingOffset,stopHour
2,1,0.6314,0.28370588235294114,0.5403333333333333,0.7464999999999999,0.24905882352941175,0.20916666666666667,1.0,0.535,0.305,-1.393,0.22,0.10909544693913135,0.123,0.17181647540441175,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
97,96,0.0,0.0,0.8450740740740742,0.493,0.10199999999999998,0.1465,0.3524999999999999,0.23777777777777778,0.1525,-1.375839,0.22,0.07863823293719936,0.123,0.07572650732086106,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
57,56,0.0924,0.06547058823529413,0.6857777777777778,0.5493333333333333,0.19023529411764706,0.217,0.44499999999999995,0.3566666666666667,0.2135,-1.358678,0.22,0.08152687285488638,0.123,0.09201575407837026,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
60,59,0.0924,0.0,0.7065555555555556,0.5493333333333333,0.27847058823529414,0.13083333333333333,0.44499999999999995,0.535,0.305,-1.393,0.22,0.08372763909750697,0.123,0.10377340940998775,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
116,115,0.0,0.0,0.8104444444444445,0.493,0.10199999999999998,0.123,0.25999999999999995,0.0,0.0305,-1.324356,0.22,0.07808860034727375,0.123,0.06638041414461805,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
102,101,0.0924,0.021823529411764707,0.7065555555555556,0.5775,0.13141176470588234,0.24833333333333332,0.44499999999999995,0.41611111111111115,0.2745,-1.358678,0.22,0.08114509788434868,0.123,0.08970520291516566,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
27,26,0.23099999999999998,0.021823529411764707,0.5680370370370371,0.5211666666666667,0.24905882352941175,0.20916666666666667,0.815,0.2972222222222223,0.183,-1.393,0.22,0.08746713800779257,0.123,0.11742419813891547,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
71,70,0.2002,0.10911764705882353,0.8520000000000001,0.5493333333333333,0.10199999999999998,0.3345,0.25999999999999995,0.47555555555555556,0.061,-1.375839,0.22,0.08017652724090246,0.123,0.07581192628368667,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
5,4,0.6622,0.28370588235294114,0.7134814814814816,0.7746666666666666,0.30788235294117644,0.15433333333333332,0.5374999999999999,0.535,0.305,-1.393,0.22371380686001896,0.19796978059878506,0.15461290322580645,0.13407741807371903,0.25,0.5,1.768709694150802,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
13,12,0.1694,0.043647058823529414,0.6996296296296297,0.5211666666666667,0.10199999999999998,0.22483333333333333,0.25999999999999995,0.535,0.305,-1.393,0.22,0.08062273918562286,0.123,0.079966356861683,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
